run,part,reference,keyword
r01,development,25 days,leave
r02,development,three days;30 euros,remote work
r03,development,40 euros;30 days,expenses
r04,development,service desk,laptop
r05,development,14 days;economy,travel
r06,development,not found,office
r07,development,1500 euros;conference tickets count,training
r08,development,10 to 15,core hours
r09,development,one working day,service desk
r10,development,day one;two weeks,onboarding
r11,development,Maria Duarte,payments
r12,development,two weeks,leave
h01,held out,7 to 20;10 to 15,opening hours
h02,held out,four years;service desk,laptop
h03,held out,31 March,leave
h04,held out,password manager,security
